claim_id,claim_date,sale_id,repair_status
CL-603,3/27/2020,OID-363168,Free Replaced
CL-607,3/28/2020,OID-362990,Free Replaced
CL-608,3/28/2020,OID-363170,Free Replaced
CL-609,3/28/2020,OID-363173,Free Replaced
CL-614,3/29/2020,OID-363148,Free Replaced
CL-615,3/29/2020,OID-363280,Free Replaced
CL-619,3/30/2020,OID-363067,Free Replaced
CL-620,3/30/2020,OID-363266,Free Replaced
CL-621,3/30/2020,OID-363302,Free Replaced
CL-622,11/1/2020,OID-398172,Paid Repaired
CL-625,4/11/2020,OID-423560,Warranty Void
CL-627,3/31/2020,OID-362949,Free Replaced
CL-628,3/31/2020,OID-363005,Free Replaced
CL-629,3/31/2020,OID-363179,Free Replaced
CL-630,3/31/2020,OID-363387,Free Replaced
CL-631,3/31/2020,OID-363394,Free Replaced
CL-633,4/1/2020,OID-363034,Free Replaced
CL-634,4/1/2020,OID-363350,Free Replaced
CL-640,4/2/2020,OID-363052,Free Replaced
CL-641,4/2/2020,OID-363085,Free Replaced
CL-642,4/2/2020,OID-363293,Free Replaced
CL-646,6/9/2020,OID-449190,Warranty Void
CL-647,10/20/2020,OID-410870,Paid Repaired
CL-652,4/4/2020,OID-362947,Free Replaced
CL-653,4/4/2020,OID-363078,Free Replaced
CL-654,4/4/2020,OID-363174,Free Replaced
CL-655,4/4/2020,OID-363258,Free Replaced
CL-656,4/4/2020,OID-363383,Free Replaced
CL-660,4/5/2020,OID-362978,Free Replaced
CL-661,4/5/2020,OID-363081,Free Replaced
CL-662,4/5/2020,OID-363166,Free Replaced
CL-663,4/5/2020,OID-363333,Free Replaced
CL-665,6/26/2020,OID-410957,Warranty Void
CL-670,4/6/2020,OID-362960,Free Replaced
CL-675,5/21/2020,OID-423601,Warranty Void
CL-676,4/8/2020,OID-363172,Free Replaced
CL-677,4/8/2020,OID-363203,Free Replaced
CL-678,4/8/2020,OID-363268,Free Replaced
CL-679,4/8/2020,OID-363337,Free Replaced
CL-680,4/9/2020,OID-362943,Free Replaced
CL-681,4/9/2020,OID-362948,Free Replaced
CL-682,4/9/2020,OID-363064,Free Replaced
CL-683,4/9/2020,OID-363099,Free Replaced
CL-684,4/9/2020,OID-363175,Free Replaced
CL-685,4/9/2020,OID-363352,Free Replaced
CL-686,4/9/2020,OID-363391,Free Replaced
CL-693,4/10/2020,OID-363059,Free Replaced
CL-694,4/10/2020,OID-363239,Free Replaced
CL-700,4/11/2020,OID-363020,Free Replaced
CL-701,4/11/2020,OID-363074,Free Replaced
CL-702,4/11/2020,OID-363281,Free Replaced
CL-703,4/11/2020,OID-363299,Free Replaced
CL-704,4/11/2020,OID-363351,Free Replaced
CL-705,4/11/2020,OID-363385,Free Replaced
CL-708,4/12/2020,OID-362953,Free Replaced
CL-709,4/12/2020,OID-363035,Free Replaced
CL-710,4/12/2020,OID-363128,Free Replaced
CL-711,4/12/2020,OID-363132,Free Replaced
CL-716,4/13/2020,OID-362935,Free Replaced
CL-717,4/13/2020,OID-363102,Free Replaced
CL-718,4/13/2020,OID-363267,Free Replaced
CL-724,4/14/2020,OID-362896,Free Replaced
CL-727,4/15/2020,OID-362860,Free Replaced
CL-728,4/15/2020,OID-362872,Free Replaced
CL-729,10/24/2020,OID-398082,Paid Repaired
CL-732,6/18/2020,OID-423473,Warranty Void
CL-736,4/16/2020,OID-363014,Free Replaced
CL-737,4/16/2020,OID-363400,Free Replaced
CL-739,4/17/2020,OID-362913,Free Replaced
CL-740,4/17/2020,OID-363077,Free Replaced
CL-741,4/17/2020,OID-363318,Free Replaced
CL-742,4/17/2020,OID-363342,Free Replaced
CL-744,8/17/2020,OID-410837,Warranty Void
CL-749,5/15/2020,OID-410832,Warranty Void
CL-753,4/19/2020,OID-362898,Free Replaced
CL-754,4/19/2020,OID-363190,Free Replaced
CL-755,4/19/2020,OID-363194,Free Replaced
CL-756,4/19/2020,OID-363227,Free Replaced
CL-757,4/20/2020,OID-363232,Free Replaced
CL-762,4/21/2020,OID-362831,Free Replaced
CL-763,4/21/2020,OID-362865,Free Replaced
CL-764,4/21/2020,OID-362900,Free Replaced
CL-765,4/21/2020,OID-362966,Free Replaced
CL-766,4/21/2020,OID-363043,Free Replaced
CL-767,4/21/2020,OID-363063,Free Replaced
CL-768,4/21/2020,OID-363210,Free Replaced
CL-769,4/21/2020,OID-363399,Free Replaced
CL-770,10/31/2020,OID-436341,Paid Repaired
CL-777,4/22/2020,OID-362855,Free Replaced
CL-778,4/22/2020,OID-362915,Free Replaced
CL-779,4/22/2020,OID-363090,Free Replaced
CL-780,4/22/2020,OID-363146,Free Replaced
CL-781,4/22/2020,OID-363254,Free Replaced
CL-782,4/22/2020,OID-363295,Free Replaced
CL-783,4/22/2020,OID-363374,Free Replaced
CL-787,4/23/2020,OID-363157,Free Replaced
CL-788,4/23/2020,OID-363384,Free Replaced
CL-791,7/30/2020,OID-423504,Warranty Void
CL-794,4/24/2020,OID-362926,Free Replaced
CL-795,4/24/2020,OID-363153,Free Replaced
CL-796,4/24/2020,OID-363283,Free Replaced
CL-797,11/21/2020,OID-398182,Paid Repaired
CL-802,8/9/2020,OID-449078,Warranty Void
CL-804,4/25/2020,OID-362870,Free Replaced
CL-805,4/25/2020,OID-363003,Free Replaced
CL-806,4/25/2020,OID-363105,Free Replaced
CL-807,4/25/2020,OID-363242,Free Replaced
CL-810,7/6/2020,OID-436460,Warranty Void
CL-812,4/26/2020,OID-362878,Free Replaced
CL-813,4/26/2020,OID-362981,Free Replaced
CL-814,4/26/2020,OID-363165,Free Replaced
CL-815,4/26/2020,OID-363214,Free Replaced
CL-816,4/26/2020,OID-363282,Free Replaced
CL-817,4/26/2020,OID-363366,Free Replaced
CL-819,12/5/2020,OID-423595,Paid Repaired
CL-820,10/5/2020,OID-436387,Paid Repaired
CL-823,4/27/2020,OID-363070,Free Replaced
CL-824,4/27/2020,OID-363167,Free Replaced
CL-825,4/27/2020,OID-363187,Free Replaced
CL-826,4/27/2020,OID-363248,Free Replaced
CL-827,4/27/2020,OID-363279,Free Replaced
CL-828,5/5/2020,OID-410857,Warranty Void
CL-829,4/8/2020,OID-410942,Warranty Void
CL-834,4/28/2020,OID-362827,Free Replaced
CL-835,4/28/2020,OID-363191,Free Replaced
CL-836,4/28/2020,OID-363226,Free Replaced
CL-837,4/28/2020,OID-363322,Free Replaced
CL-838,4/28/2020,OID-363372,Free Replaced
CL-840,6/1/2020,OID-449031,Warranty Void
CL-841,4/29/2020,OID-362876,Free Replaced
CL-842,4/29/2020,OID-363031,Free Replaced
CL-843,4/29/2020,OID-363329,Free Replaced
CL-844,4/29/2020,OID-363338,Free Replaced
CL-845,4/29/2020,OID-363369,Free Replaced
CL-846,12/27/2020,OID-423494,Paid Repaired
CL-848,9/30/2020,OID-449181,Paid Repaired
CL-850,4/30/2020,OID-362955,Free Replaced
CL-851,4/30/2020,OID-362989,Free Replaced
CL-852,4/30/2020,OID-362999,Free Replaced
CL-853,4/30/2020,OID-363098,Free Replaced
CL-854,4/30/2020,OID-363142,Free Replaced
CL-855,4/30/2020,OID-363198,Free Replaced
CL-856,4/30/2020,OID-363320,Free Replaced
CL-857,5/1/2020,OID-363007,Free Replaced
CL-858,5/1/2020,OID-363139,Free Replaced
CL-859,5/1/2020,OID-363231,Free Replaced
CL-860,5/1/2020,OID-363303,Free Replaced
CL-862,6/2/2020,OID-410847,Warranty Void
CL-863,5/2/2020,OID-362892,Free Replaced
CL-864,5/2/2020,OID-363075,Free Replaced
CL-865,5/2/2020,OID-363321,Free Replaced
CL-868,5/3/2020,OID-362921,Free Replaced
CL-869,5/3/2020,OID-363181,Free Replaced
CL-870,5/3/2020,OID-363186,Free Replaced
CL-871,5/3/2020,OID-363223,Free Replaced
CL-872,5/3/2020,OID-363390,Free Replaced
CL-876,5/18/2020,OID-436363,Warranty Void
CL-878,5/4/2020,OID-362861,Free Replaced
CL-879,5/4/2020,OID-362973,Free Replaced
CL-880,5/4/2020,OID-363068,Free Replaced
CL-881,5/4/2020,OID-363193,Free Replaced
CL-882,5/10/2020,OID-398066,Warranty Void
CL-886,5/5/2020,OID-362755,Free Replaced
CL-887,5/5/2020,OID-362847,Free Replaced
CL-888,5/5/2020,OID-362867,Free Replaced
CL-889,5/5/2020,OID-362887,Free Replaced
CL-890,5/5/2020,OID-363028,Free Replaced
CL-891,5/5/2020,OID-363216,Free Replaced
CL-892,5/5/2020,OID-363246,Free Replaced
CL-895,5/6/2020,OID-362787,Free Replaced
CL-896,5/6/2020,OID-363094,Free Replaced
CL-897,5/6/2020,OID-363164,Free Replaced
CL-898,5/6/2020,OID-363402,Free Replaced
CL-901,5/7/2020,OID-363041,Free Replaced
CL-902,11/19/2020,OID-398139,Paid Repaired
CL-904,5/8/2020,OID-363019,Free Replaced
CL-905,5/8/2020,OID-363160,Free Replaced
CL-906,5/8/2020,OID-363330,Free Replaced
CL-912,5/9/2020,OID-362710,Free Replaced
CL-913,5/9/2020,OID-363184,Free Replaced
CL-914,5/9/2020,OID-363335,Free Replaced
CL-915,5/9/2020,OID-363376,Free Replaced
CL-916,12/5/2020,OID-398054,Paid Repaired
CL-917,12/14/2020,OID-410906,Paid Repaired
CL-924,4/24/2020,OID-436423,Warranty Void
CL-926,5/11/2020,OID-362839,Free Replaced
CL-927,5/11/2020,OID-363038,Free Replaced
CL-928,5/11/2020,OID-363057,Free Replaced
CL-929,5/11/2020,OID-363114,Free Replaced
CL-930,5/11/2020,OID-363253,Free Replaced
CL-931,5/11/2020,OID-363377,Free Replaced
CL-932,8/3/2020,OID-397999,Warranty Void
CL-937,5/12/2020,OID-362759,Free Replaced
CL-938,5/12/2020,OID-363015,Free Replaced
CL-939,5/12/2020,OID-363079,Free Replaced
CL-940,5/12/2020,OID-363125,Free Replaced
CL-941,5/12/2020,OID-363141,Free Replaced
CL-942,5/12/2020,OID-363288,Free Replaced
CL-946,7/12/2020,OID-436281,Warranty Void
CL-947,10/19/2020,OID-436298,Warranty Void
CL-948,6/3/2020,OID-436358,Warranty Void
CL-949,12/30/2020,OID-448931,Paid Repaired
CL-950,5/13/2020,OID-362901,Free Replaced
CL-951,5/13/2020,OID-363029,Free Replaced
CL-952,5/13/2020,OID-363147,Free Replaced
CL-953,5/13/2020,OID-363180,Free Replaced
CL-955,5/14/2020,OID-362723,Free Replaced
CL-956,5/14/2020,OID-362728,Free Replaced
CL-957,5/14/2020,OID-362766,Free Replaced
CL-958,5/14/2020,OID-362869,Free Replaced
CL-961,7/30/2020,OID-436390,Warranty Void
CL-963,5/15/2020,OID-362884,Free Replaced
CL-964,5/15/2020,OID-362969,Free Replaced
CL-965,5/15/2020,OID-363388,Free Replaced
CL-968,10/29/2020,OID-449109,Paid Repaired
CL-969,5/16/2020,OID-362734,Free Replaced
CL-970,5/16/2020,OID-362891,Free Replaced
CL-971,5/16/2020,OID-362895,Free Replaced
CL-972,5/16/2020,OID-363065,Free Replaced
CL-973,5/16/2020,OID-363192,Free Replaced
CL-974,6/7/2020,OID-410917,Warranty Void
CL-979,5/17/2020,OID-362675,Free Replaced
CL-980,5/17/2020,OID-362730,Free Replaced
CL-981,5/17/2020,OID-362919,Free Replaced
CL-985,5/18/2020,OID-362789,Free Replaced
CL-996,5/19/2020,OID-362813,Free Replaced
CL-997,5/19/2020,OID-362832,Free Replaced
CL-998,5/19/2020,OID-362886,Free Replaced
CL-999,5/19/2020,OID-363033,Free Replaced
CL-1001,12/30/2020,OID-410716,Paid Repaired
CL-1003,12/16/2020,OID-423415,Paid Repaired
CL-1004,11/25/2020,OID-423475,Paid Repaired
CL-1005,7/1/2020,OID-436398,Warranty Void
CL-1006,12/6/2020,OID-448954,Paid Repaired
CL-1007,11/17/2020,OID-449110,Paid Repaired
CL-1009,5/20/2020,OID-362791,Free Replaced
CL-1010,5/20/2020,OID-362797,Free Replaced
CL-1011,5/20/2020,OID-363339,Free Replaced
CL-1012,5/20/2020,OID-363368,Free Replaced
CL-1013,6/19/2020,OID-398030,Warranty Void
CL-1014,8/16/2020,OID-398109,Warranty Void
CL-1017,5/21/2020,OID-363257,Free Replaced
CL-1021,5/22/2020,OID-363055,Free Replaced
CL-1022,5/22/2020,OID-363112,Free Replaced
CL-1023,5/22/2020,OID-363365,Free Replaced
CL-1028,9/13/2020,OID-449162,Warranty Void
CL-1029,5/23/2020,OID-362683,Free Replaced
CL-1030,5/23/2020,OID-362843,Free Replaced
CL-1031,5/23/2020,OID-362942,Free Replaced
CL-1032,5/23/2020,OID-362963,Free Replaced
CL-1033,5/23/2020,OID-363088,Free Replaced
CL-1034,5/23/2020,OID-363326,Free Replaced
CL-1036,6/16/2020,OID-423357,Warranty Void
CL-1038,5/8/2020,OID-436385,Warranty Void
CL-1040,12/26/2020,OID-448932,Paid Repaired
CL-1041,5/24/2020,OID-362731,Free Replaced
CL-1042,5/24/2020,OID-362802,Free Replaced
CL-1043,5/24/2020,OID-362964,Free Replaced
CL-1044,5/24/2020,OID-362977,Free Replaced
CL-1045,5/24/2020,OID-362997,Free Replaced
CL-1046,5/24/2020,OID-363163,Free Replaced
CL-1047,5/24/2020,OID-363241,Free Replaced
CL-1048,5/24/2020,OID-363354,Free Replaced
CL-1051,5/25/2020,OID-363054,Free Replaced
CL-1052,5/25/2020,OID-363358,Free Replaced
CL-1053,8/18/2020,OID-398046,Warranty Void
CL-1054,10/30/2020,OID-410953,Paid Repaired
CL-1061,5/26/2020,OID-362817,Free Replaced
CL-1062,5/26/2020,OID-362828,Free Replaced
CL-1063,5/26/2020,OID-362846,Free Replaced
CL-1064,5/26/2020,OID-363144,Free Replaced
CL-1065,5/26/2020,OID-363364,Free Replaced
CL-1067,5/19/2020,OID-410890,Warranty Void
CL-1068,5/27/2020,OID-362687,Free Replaced
CL-1069,5/27/2020,OID-363136,Free Replaced
CL-1070,5/27/2020,OID-363228,Free Replaced
CL-1072,5/28/2020,OID-362611,Free Replaced
CL-1073,5/28/2020,OID-362979,Free Replaced
CL-1074,5/28/2020,OID-363032,Free Replaced
CL-1075,5/28/2020,OID-363197,Free Replaced
CL-1077,11/28/2020,OID-410696,Paid Repaired
CL-1078,5/21/2020,OID-423550,Warranty Void
CL-1079,7/13/2020,OID-436370,Warranty Void
CL-1081,10/10/2020,OID-449180,Paid Repaired
CL-1082,11/9/2020,OID-398063,Paid Repaired
CL-1087,5/30/2020,OID-362640,Free Replaced
CL-1088,5/30/2020,OID-362654,Free Replaced
CL-1089,5/30/2020,OID-362909,Free Replaced
CL-1090,5/30/2020,OID-362924,Free Replaced
CL-1091,11/12/2020,OID-410740,Paid Repaired
CL-1092,11/10/2020,OID-410772,Paid Repaired
CL-1094,5/31/2020,OID-362580,Free Replaced
CL-1095,5/31/2020,OID-362605,Free Replaced
CL-1096,5/31/2020,OID-362914,Free Replaced
CL-1097,5/31/2020,OID-362996,Free Replaced
CL-1098,5/31/2020,OID-363116,Free Replaced
CL-1102,6/1/2020,OID-362720,Free Replaced
CL-1103,6/1/2020,OID-363263,Free Replaced
CL-1104,12/5/2020,OID-410626,Paid Repaired
CL-1105,11/9/2020,OID-410631,Warranty Void
CL-1106,1/16/2021,OID-410660,Paid Repaired
CL-1109,6/2/2020,OID-363328,Free Replaced
CL-1110,6/3/2020,OID-363100,Free Replaced
CL-1111,6/3/2020,OID-363134,Free Replaced
CL-1112,6/3/2020,OID-363380,Free Replaced
CL-1113,7/7/2020,OID-410676,Warranty Void
CL-1117,8/18/2020,OID-449087,Warranty Void
CL-1118,6/4/2020,OID-362564,Free Replaced
CL-1119,6/4/2020,OID-363008,Free Replaced
CL-1120,6/4/2020,OID-363145,Free Replaced
CL-1121,6/4/2020,OID-363230,Free Replaced
CL-1122,6/4/2020,OID-363336,Free Replaced
CL-1125,6/28/2020,OID-423272,Warranty Void
CL-1126,7/16/2020,OID-423602,Warranty Void
CL-1129,7/29/2020,OID-448844,Warranty Void
CL-1130,6/5/2020,OID-362578,Free Replaced
CL-1131,6/5/2020,OID-362617,Free Replaced
CL-1132,6/5/2020,OID-362681,Free Replaced
CL-1133,6/5/2020,OID-362682,Free Replaced
CL-1134,6/5/2020,OID-362715,Free Replaced
CL-1135,6/5/2020,OID-362812,Free Replaced
CL-1136,6/5/2020,OID-362893,Free Replaced
CL-1137,6/5/2020,OID-363000,Free Replaced
CL-1138,6/5/2020,OID-363016,Free Replaced
CL-1139,6/5/2020,OID-363044,Free Replaced
CL-1140,6/5/2020,OID-363218,Free Replaced
CL-1141,6/5/2020,OID-363275,Free Replaced
CL-1142,6/5/2020,OID-363315,Free Replaced
CL-1143,6/5/2020,OID-363349,Free Replaced
CL-1146,6/6/2020,OID-362574,Free Replaced
CL-1147,6/6/2020,OID-362700,Free Replaced
CL-1148,6/6/2020,OID-362905,Free Replaced
CL-1149,6/6/2020,OID-362941,Free Replaced
CL-1150,6/6/2020,OID-362982,Free Replaced
CL-1151,6/6/2020,OID-363049,Free Replaced
CL-1152,6/6/2020,OID-363150,Free Replaced
CL-1153,6/6/2020,OID-363271,Free Replaced
CL-1154,10/27/2020,OID-398043,Paid Repaired
CL-1155,9/30/2020,OID-436280,Warranty Void
CL-1156,6/7/2020,OID-362764,Free Replaced
CL-1157,6/7/2020,OID-362782,Free Replaced
CL-1158,6/7/2020,OID-362879,Free Replaced
CL-1159,6/7/2020,OID-363001,Free Replaced
CL-1160,6/7/2020,OID-363206,Free Replaced
CL-1162,8/29/2020,OID-410714,Warranty Void
CL-1163,5/29/2020,OID-423363,Warranty Void
CL-1165,12/2/2020,OID-449066,Paid Repaired
CL-1166,6/8/2020,OID-362674,Free Replaced
CL-1167,6/8/2020,OID-363135,Free Replaced
CL-1168,6/8/2020,OID-363200,Free Replaced
CL-1169,7/11/2020,OID-410679,Warranty Void
CL-1171,6/9/2020,OID-363071,Free Replaced
CL-1172,6/9/2020,OID-363176,Free Replaced
CL-1173,6/9/2020,OID-363373,Free Replaced
CL-1174,7/15/2020,OID-410915,Warranty Void
CL-1177,11/23/2020,OID-448881,Warranty Void
CL-1178,6/10/2020,OID-362667,Free Replaced
CL-1179,6/10/2020,OID-362781,Free Replaced
CL-1180,6/10/2020,OID-362937,Free Replaced
CL-1181,6/10/2020,OID-363030,Free Replaced
CL-1182,6/10/2020,OID-363103,Free Replaced
CL-1183,6/10/2020,OID-363237,Free Replaced
CL-1184,6/10/2020,OID-363260,Free Replaced
CL-1185,12/17/2020,OID-397907,Paid Repaired
CL-1186,12/2/2020,OID-410892,Paid Repaired
CL-1191,6/12/2020,OID-448917,Warranty Void
CL-1192,6/11/2020,OID-362830,Free Replaced
CL-1193,6/11/2020,OID-362842,Free Replaced
CL-1194,6/11/2020,OID-363058,Free Replaced
CL-1195,6/11/2020,OID-363060,Free Replaced
CL-1196,10/25/2020,OID-397990,Paid Repaired
CL-1198,11/19/2020,OID-423552,Paid Repaired
CL-1203,6/12/2020,OID-362524,Free Replaced
CL-1204,6/12/2020,OID-362881,Free Replaced
CL-1205,6/12/2020,OID-363360,Free Replaced
CL-1206,10/10/2020,OID-397966,Warranty Void
CL-1207,11/20/2020,OID-423574,Paid Repaired
CL-1209,6/13/2020,OID-362986,Free Replaced
CL-1210,7/8/2020,OID-410831,Warranty Void
CL-1211,12/19/2020,OID-436181,Paid Repaired
CL-1213,6/14/2020,OID-362853,Free Replaced
CL-1214,6/14/2020,OID-362931,Free Replaced
CL-1215,6/14/2020,OID-362934,Free Replaced
CL-1216,6/14/2020,OID-362936,Free Replaced
CL-1217,6/14/2020,OID-362967,Free Replaced
CL-1218,6/14/2020,OID-363051,Free Replaced
CL-1223,6/15/2020,OID-362646,Free Replaced
CL-1224,6/15/2020,OID-362663,Free Replaced
CL-1225,6/15/2020,OID-362702,Free Replaced
CL-1226,6/15/2020,OID-362706,Free Replaced
CL-1227,6/15/2020,OID-363131,Free Replaced
CL-1228,6/15/2020,OID-363169,Free Replaced
CL-1229,6/15/2020,OID-363217,Free Replaced
CL-1230,6/15/2020,OID-363343,Free Replaced
CL-1232,6/25/2020,OID-423281,Warranty Void
CL-1233,9/16/2020,OID-448969,Warranty Void
CL-1234,6/16/2020,OID-362690,Free Replaced
CL-1235,6/16/2020,OID-362751,Free Replaced
CL-1236,6/16/2020,OID-362840,Free Replaced
CL-1237,6/16/2020,OID-362983,Free Replaced
CL-1238,6/16/2020,OID-363115,Free Replaced
CL-1240,6/17/2020,OID-362497,Free Replaced
CL-1241,6/17/2020,OID-362550,Free Replaced
CL-1242,6/17/2020,OID-362705,Free Replaced
CL-1243,6/17/2020,OID-362714,Free Replaced
CL-1244,6/17/2020,OID-362993,Free Replaced
CL-1245,6/17/2020,OID-363046,Free Replaced
CL-1246,6/17/2020,OID-363056,Free Replaced
CL-1247,6/17/2020,OID-363108,Free Replaced
CL-1248,6/17/2020,OID-363151,Free Replaced
CL-1249,6/17/2020,OID-363229,Free Replaced
CL-1250,6/17/2020,OID-363245,Free Replaced
CL-1253,8/20/2020,OID-436124,Warranty Void
CL-1254,11/28/2020,OID-436195,Paid Repaired
CL-1256,10/21/2020,OID-448833,Warranty Void
CL-1257,11/25/2020,OID-448883,Paid Repaired
CL-1259,6/18/2020,OID-362504,Free Replaced
CL-1260,6/18/2020,OID-362508,Free Replaced
CL-1261,6/18/2020,OID-362642,Free Replaced
CL-1262,6/18/2020,OID-362740,Free Replaced
CL-1263,6/18/2020,OID-363178,Free Replaced
CL-1264,6/18/2020,OID-363252,Free Replaced
CL-1267,2/14/2021,OID-448842,Paid Repaired
CL-1269,6/19/2020,OID-362792,Free Replaced
CL-1270,6/19/2020,OID-362862,Free Replaced
CL-1271,6/19/2020,OID-362968,Free Replaced
CL-1272,6/19/2020,OID-363161,Free Replaced
CL-1273,6/19/2020,OID-363370,Free Replaced
CL-1274,6/17/2020,OID-423454,Warranty Void
CL-1276,6/20/2020,OID-362521,Free Replaced
CL-1277,6/20/2020,OID-362579,Free Replaced
CL-1278,6/20/2020,OID-362619,Free Replaced
CL-1279,6/20/2020,OID-362722,Free Replaced
CL-1280,6/20/2020,OID-362927,Free Replaced
CL-1281,6/20/2020,OID-363021,Free Replaced
CL-1282,9/16/2020,OID-398072,Warranty Void
CL-1286,6/21/2020,OID-362750,Free Replaced
CL-1287,6/21/2020,OID-362904,Free Replaced
CL-1288,6/21/2020,OID-363130,Free Replaced
CL-1289,6/21/2020,OID-363262,Free Replaced
CL-1290,6/21/2020,OID-363401,Free Replaced
CL-1293,6/22/2020,OID-362572,Free Replaced
CL-1294,6/22/2020,OID-362774,Free Replaced
